name,sex
Август,M
Авдей,M
Аверкий,M
Аверьян,M
Авксентий,M
Автоном,M
Агап,M
Агата,F
Агафон,M
Агафья,F
Аггей,M
Адриан,M
Азарий,M
Аким,M
Акулина,F
Алевтина,F
Александр,M
Александра,F
Алексей,M
Алина,F
Алла,F
Амвросий,M
Амос,M
Ананий,M
Анастасия,F
Анатолий,M
Ангелина,F
Андрей,M
Андрон,M
Андроник,M
Анжела,F
Анжелика,F
Аникей,M
Аникита,M
Анисим,M
Анна,F
Антип,M
Антонин,M
Антонина,F
Аполлинарий,M
Аполлон,M
Арефий,M
Аристарх,M
Аркадий,M
Арсений,M
Артемий,M
Архип,M
Аскольд,M
Афанасий,M
Афиноген,M
Бажен,M
Богдан,M
Болеслав,M
Борис,M
Борислав,M
Боян,M
Бронислав,M
Будимир,M
Вадим,M
Валентин,M
Валентина,F
Валерий,M
Валерия,F
Валерьян,M
Варвара,F
Варлаам,M
Варфоломей,M
Василий,M
Василиса,F
Вацлав,M
Велимир,M
Венедикт,M
Вера,F
Вероника,F
Викентий,M
Виктор,M
Викторин,M
Виктория,F
Виссарион,M
Виталий,M
Владилен,M
Владимир,M
Владислав,M
Владлен,M
Влас,M
Всеволод,M
Всемил,M
Всеслав,M
Вышеслав,M
Гаврила,M
Галактион,M
Галина,F
Гедеон,M
Геннадий,M
Георгий,M
Герасим,M
Герман,M
Глафира,F
Глеб,M
Гордей,M
Гостомысл,M
Гремислав,M
Григорий,M
Гурий,M
Давыд,M
Данила,M
Дарья,F
Дементий,M
Демид,M
Демьян,M
Денис,M
Дмитрий,M
Добромысл,M
Доброслав,M
Дорофей,M
Евгений,M
Евгения,F
Евграф,M
Евдоким,M
Евдокия,F
Евлампий,M
Евпраксия,F
Евсей,M
Евстафий,M
Евстигней,M
Евфросиния,F
Егор,M
Екатерина,F
Елена,F
Елизавета,F
Елизар,M
Елисей,M
Емельян,M
Епифан,M
Еремей,M
Ермил,M
Ермолай,M
Ерофей,M
Ефим,M
Ефрем,M
Жанна,F
Захар,M
Зинаида,F
Зиновий,M
Зосима,M
Зоя,F
Иван,M
Иванна,F
Игнатий,M
Игорь,M
Измаил,M
Изот,M
Изяслав,M
Иларион,M
Илья,M
Иннокентий,M
Иосиф,M
Ипат,M
Ипатий,M
Ипполит,M
Ираида,F
Ираклий,M
Ирина,F
Исай,M
Исидор,M
Ия,F
Казимир,M
Каллистрат,M
Карл,M
Карп,M
Касьян,M
Ким,M
Кир,M
Кира,F
Кирилл,M
Клавдий,M
Клавдия,F
Климент,M
Кондрат,M
Кондратий,M
Конон,M
Константин,M
Корнил,M
Ксения,F
Кузьма,M
Куприян,M
Лавр,M
Лаврентий,M
Ладимир,M
Ладислав,M
Лазарь,M
Лариса,F
Лев,M
Леон,M
Леонид,M
Леонтий,M
Лидия,F
Лонгин,M
Лора,F
Лука,M
Лукия,F
Лукьян,M
Лучезар,M
Любим,M
Любовь,F
Любомир,M
Любосмысл,M
Людмила,F
Майя,F
Макар,M
Максимильян,M
Маргарита,F
Мариан,M
Марина,F
Мария,F
Марк,M
Мартын,M
Мартьян,M
Марфа,F
Матвей,M
Мефодий,M
Мечислав,M
Милан,M
Милен,M
Милий,M
Милица,F
Милован,M
Мина,M
Мир,M
Мирон,M
Мирослав,M
Митофан,M
Михаил,M
Михей,M
Модест,M
Моисей,M
Мокей,M
Мстислав,M
Надежда,F
Назар,M
Наина,F
Наркис,M
Наталья,F
Натан,M
Наум,M
Нестор,M
Никандр,M
Никанор,M
Никита,M
Никифор,M
Никодим,M
Николай,M
Никон,M
Нина,F
Нинель,F
Нифонт,M
Нонна,F
Оксана,F
Октябрина,F
Олег,M
Олимпиада,F
Олимпий,M
Ольга,F
Онуфрий,M
Орест,M
Осип,M
Остап,M
Остромир,M
Павел,M
Панкрат,M
Панкратий,M
Пантелеймон,M
Панфил,M
Парамон,M
Парфен,M
Пахом,M
Пелагея,F
Петр,M
Пимен,M
Платон,M
Поликарп,M
Полина,F
Порфирий,M
Потап,M
Прасковья,F
Пров,M
Прокл,M
Прокофий,M
Прохор,M
Радим,M
Радислав,M
Радован,M
Раиса,F
Ратибор,M
Ратмир,M
Регина,F
Родион,M
Роман,M
Ростислав,M
Рубен,M
Руслан,M
Рюрик,M
Савва,M
Савватий,M
Савелий,M
Самсон,M
Самуил,M
Светлана,F
Светозар,M
Святополк,M
Святослав,M
Севастьян,M
Селиван,M
Селиверст,M
Семен,M
Серафим,M
Сергей,M
Сигизмунд,M
Сидор,M
Сила,M
Силантий,M
Сильвестр,M
Симон,M
Синклитикия,F
Соломон,M
София,F
Софон,M
Софрон,M
Спартак,M
Спиридон,M
Станимир,M
Станислав,M
Степан,M
Стоян,M
Таисия,F
Тамара,F
Тарас,M
Татьяна,F
Твердислав,M
Творимир,M
Терентий,M
Тимофей,M
Тимур,M
Тит,M
Тихон,M
Трифон,M
Трофим,M
Ульян,M
Ульяна,F
Устин,M
Фадей,M
Фаина,F
Феврония,F
Федор,M
Федосий,M
Федот,M
Фёкла,F
Феликс,M
Феоктист,M
Ферапонт,M
Филарет,M
Филимон,M
Филипп,M
Фирс,M
Флорентин,M
Фока,M
Фома,M
Фортунат,M
Фотий,M
Фрол,M
Харитон,M
Харлампий,M
Христофор,M
Чеслав,M
Эдуард,M
Элеонора,F
Эмилия,F
Эмиль,M
Эммануил,M
Эраст,M
Эрнест,M
Эрнст,M
Ювеналий,M
Юлиан,M
Юлий,M
Юлия,F
Юрий,M
Яков,M
Якуб,M
Ян,M
Ярополк,M
Ярослав,M